iteration,c1=3_c2=1,c1=2_c2=2,c1=1_c2=3,c1=0_c2=2,c1=2_c2=0
0,142.714449,142.714449,142.714449,142.714449,142.714449
1,112.493522,132.122445,142.714449,132.122445,142.714449
2,112.493522,132.122445,142.714449,132.122445,142.714449
3,112.493522,125.041392,142.714449,132.122445,142.714449
4,112.493522,125.041392,142.714449,132.122445,142.714449
5,112.493522,125.041392,142.714449,132.122445,142.714449
6,112.493522,125.041392,142.714449,132.122445,142.714449
7,112.493522,125.041392,142.714449,132.122445,142.714449
8,112.493522,125.041392,142.714449,132.122445,142.714449
9,112.493522,125.041392,142.714449,132.122445,142.714449
10,112.493522,125.041392,142.714449,132.122445,142.714449
11,112.493522,125.041392,134.501782,132.122445,142.714449
12,112.493522,125.041392,134.501782,117.138831,142.714449
13,112.493522,125.041392,134.501782,117.138831,142.714449
14,112.493522,125.041392,134.501782,117.138831,142.714449
15,112.493522,125.041392,134.501782,117.138831,142.714449
16,112.493522,125.041392,134.501782,117.138831,142.714449
17,112.493522,125.041392,134.501782,117.138831,142.714449
18,112.493522,125.041392,134.501782,117.138831,142.714449
19,112.493522,125.041392,134.501782,110.481686,142.714449
20,112.493522,125.041392,134.501782,110.481686,142.714449
21,112.493522,125.041392,134.501782,110.481686,142.714449
22,112.493522,125.041392,134.501782,110.481686,142.714449
23,112.493522,125.041392,134.501782,110.481686,142.714449
24,112.493522,125.041392,134.501782,110.481686,142.714449
25,112.493522,125.041392,134.501782,110.481686,142.714449
26,112.493522,125.041392,134.501782,110.481686,142.714449
27,112.493522,125.041392,134.501782,110.481686,142.714449
28,112.493522,125.041392,134.501782,110.481686,142.714449
29,112.493522,125.041392,134.501782,110.481686,142.714449
30,112.493522,125.041392,134.501782,110.481686,142.714449
31,112.493522,125.041392,134.501782,110.481686,142.714449
32,112.493522,125.041392,134.501782,110.481686,142.714449
33,112.493522,125.041392,134.501782,110.481686,142.714449
34,112.493522,125.041392,134.501782,110.481686,142.714449
35,112.493522,125.041392,134.501782,110.481686,142.714449
36,112.493522,125.041392,134.501782,110.481686,142.714449
37,112.493522,125.041392,134.501782,110.481686,142.714449
38,112.493522,125.041392,134.501782,110.481686,142.714449
39,112.493522,125.041392,134.501782,110.481686,142.714449
40,112.493522,125.041392,134.501782,110.481686,142.714449
41,112.493522,125.041392,134.501782,110.481686,142.714449
42,112.493522,125.041392,134.501782,110.481686,142.714449
43,112.493522,125.041392,134.501782,110.481686,142.714449
44,89.440596,125.041392,134.501782,110.481686,142.714449
45,89.440596,125.041392,134.501782,110.481686,142.714449
46,89.440596,125.041392,134.501782,110.481686,142.714449
47,89.440596,125.041392,134.501782,110.481686,142.714449
48,89.440596,125.041392,134.501782,110.481686,142.714449
49,89.440596,125.041392,134.501782,110.481686,142.714449
50,89.020688,125.041392,134.501782,110.481686,142.714449
51,89.020688,125.041392,131.261951,110.481686,142.714449
52,89.020688,125.041392,131.261951,110.481686,142.714449
53,89.020688,125.041392,131.261951,110.481686,142.714449
54,89.020688,125.041392,131.261951,110.481686,142.714449
55,89.020688,125.041392,131.261951,110.481686,142.714449
56,89.020688,125.041392,131.261951,110.481686,142.714449
57,89.020688,125.041392,131.261951,110.481686,142.714449
58,89.020688,125.041392,131.261951,110.481686,142.714449
59,89.020688,125.041392,131.261951,110.481686,142.714449
60,89.020688,125.041392,131.261951,110.481686,142.714449
61,89.020688,125.041392,131.261951,110.481686,142.714449
62,89.020688,125.041392,131.261951,110.481686,142.714449
63,89.020688,125.041392,131.261951,110.481686,142.714449
64,89.020688,125.041392,131.261951,110.481686,142.714449
65,89.020688,123.794395,131.261951,110.481686,142.714449
66,89.020688,123.794395,125.276911,110.481686,142.714449
67,89.020688,123.794395,108.865422,110.481686,142.714449
68,89.020688,123.794395,108.865422,110.481686,142.714449
69,89.020688,123.794395,108.865422,110.481686,142.714449
70,89.020688,123.794395,108.865422,110.481686,142.714449
71,89.020688,123.794395,108.865422,110.481686,142.714449
72,89.020688,123.794395,108.865422,110.481686,142.714449
73,89.020688,123.794395,108.865422,110.481686,142.714449
74,89.020688,123.794395,108.865422,110.481686,142.714449
75,89.020688,123.794395,108.865422,110.481686,142.714449
76,89.020688,116.351632,108.865422,110.481686,142.714449
77,89.020688,116.351632,108.865422,110.481686,142.714449
78,89.020688,80.414050,108.865422,110.481686,142.714449
79,89.020688,80.414050,108.865422,110.481686,142.714449
80,89.020688,80.414050,108.865422,110.481686,142.714449
81,89.020688,80.414050,108.865422,110.481686,142.714449
82,89.020688,80.414050,108.865422,110.481686,142.714449
83,89.020688,80.414050,108.865422,110.481686,142.714449
84,89.020688,80.414050,108.865422,110.481686,142.714449
85,89.020688,80.414050,108.865422,110.481686,142.714449
86,89.020688,80.414050,108.865422,110.481686,142.714449
87,89.020688,80.414050,108.865422,110.481686,142.714449
88,89.020688,80.414050,108.865422,110.481686,142.714449
89,89.020688,80.414050,108.865422,110.481686,142.714449
90,89.020688,80.414050,108.865422,110.481686,142.714449
91,89.020688,80.414050,108.865422,110.481686,142.714449
92,89.020688,80.414050,108.865422,110.481686,142.714449
93,89.020688,80.414050,108.865422,110.481686,142.714449
94,89.020688,80.414050,108.865422,110.481686,142.714449
95,89.020688,80.414050,108.865422,110.481686,142.714449
96,89.020688,80.414050,108.865422,110.481686,142.714449
97,89.020688,80.414050,108.865422,110.481686,142.714449
98,89.020688,80.414050,108.865422,110.481686,142.714449
99,89.020688,80.414050,108.865422,110.481686,142.714449
100,89.020688,80.414050,108.865422,110.481686,142.714449
101,89.020688,80.414050,108.865422,110.481686,142.714449
102,89.020688,80.414050,108.865422,110.481686,142.714449
103,89.020688,80.414050,108.865422,110.481686,142.714449
104,89.020688,80.414050,108.865422,110.481686,142.714449
105,89.020688,80.414050,108.865422,110.481686,142.714449
106,89.020688,80.414050,108.865422,110.481686,142.714449
107,89.020688,75.665413,108.865422,110.481686,142.714449
108,89.020688,75.665413,108.865422,110.481686,142.714449
109,89.020688,75.665413,105.686527,110.481686,142.714449
110,89.020688,75.665413,105.686527,110.481686,142.714449
111,89.020688,75.665413,105.686527,110.481686,142.714449
112,89.020688,75.665413,105.686527,110.481686,142.714449
113,89.020688,75.665413,105.686527,110.481686,142.714449
114,89.020688,75.665413,105.686527,100.760383,142.714449
115,89.020688,75.665413,105.686527,100.760383,142.714449
116,89.020688,75.665413,105.686527,100.760383,142.714449
117,89.020688,75.665413,105.686527,100.760383,142.714449
118,89.020688,75.665413,105.686527,100.760383,142.714449
119,89.020688,75.665413,105.686527,100.760383,142.714449
120,89.020688,75.665413,105.686527,100.760383,142.714449
121,89.020688,75.665413,105.686527,100.760383,142.714449
122,89.020688,75.665413,105.686527,100.760383,142.714449
123,89.020688,75.665413,105.686527,100.760383,142.714449
124,89.020688,75.665413,105.686527,100.760383,142.714449
125,89.020688,75.665413,105.686527,100.760383,142.714449
126,89.020688,75.665413,105.686527,100.760383,142.714449
127,89.020688,75.665413,105.686527,100.760383,142.714449
128,89.020688,75.665413,105.686527,100.760383,142.714449
129,89.020688,75.665413,105.686527,100.760383,142.714449
130,89.020688,75.665413,105.686527,100.760383,142.714449
131,89.020688,75.665413,105.686527,100.760383,142.714449
132,89.020688,75.665413,105.686527,100.760383,142.714449
133,89.020688,75.665413,105.686527,100.760383,142.714449
134,89.020688,75.665413,105.686527,100.760383,142.714449
135,89.020688,75.665413,105.686527,100.760383,142.714449
136,89.020688,75.665413,105.686527,100.760383,142.714449
137,89.020688,75.665413,105.686527,100.760383,142.714449
138,89.020688,75.665413,105.686527,100.760383,142.714449
139,89.020688,75.665413,105.686527,100.760383,142.714449
140,89.020688,75.665413,105.686527,100.760383,142.714449
141,89.020688,75.665413,105.686527,100.760383,142.714449
142,89.020688,75.665413,105.686527,100.760383,142.714449
143,89.020688,75.665413,105.686527,100.760383,142.714449
144,89.020688,75.665413,105.686527,100.760383,142.714449
145,89.020688,75.665413,105.686527,100.760383,142.714449
146,89.020688,75.665413,105.686527,100.760383,142.714449
147,89.020688,75.665413,105.686527,100.760383,142.714449
148,89.020688,75.665413,105.686527,100.760383,142.714449
149,89.020688,75.665413,105.686527,100.760383,142.714449
150,89.020688,75.665413,105.686527,100.760383,142.714449
151,89.020688,75.665413,105.686527,100.760383,142.714449
152,89.020688,75.665413,105.686527,100.760383,142.714449
153,89.020688,75.665413,105.686527,100.760383,142.714449
154,89.020688,75.665413,105.686527,100.760383,142.714449
155,89.020688,75.665413,105.686527,100.760383,142.714449
156,89.020688,75.665413,105.686527,100.760383,142.714449
157,89.020688,75.665413,105.686527,100.760383,142.714449
158,89.020688,75.665413,105.686527,100.760383,142.714449
159,89.020688,75.665413,105.686527,100.760383,142.714449
160,89.020688,75.665413,105.686527,100.760383,142.714449
161,89.020688,75.665413,105.686527,100.760383,142.714449
162,89.020688,75.665413,105.686527,100.760383,142.714449
163,89.020688,75.665413,105.686527,100.760383,142.714449
164,89.020688,75.665413,105.686527,100.760383,142.714449
165,89.020688,75.665413,105.686527,100.760383,142.714449
166,89.020688,75.665413,105.686527,100.760383,142.714449
167,89.020688,75.665413,105.686527,100.760383,142.714449
168,89.020688,75.665413,105.686527,100.760383,142.714449
169,89.020688,75.665413,105.686527,100.760383,142.714449
170,89.020688,75.665413,105.686527,100.760383,142.714449
171,89.020688,75.665413,105.686527,100.760383,142.714449
172,89.020688,75.665413,105.686527,100.760383,142.714449
173,89.020688,75.665413,105.686527,100.760383,142.714449
174,89.020688,75.665413,105.686527,100.760383,142.714449
175,89.020688,75.665413,105.686527,100.760383,142.714449
176,89.020688,75.665413,105.686527,100.760383,142.714449
177,89.020688,75.665413,105.686527,100.760383,142.714449
178,89.020688,75.665413,105.686527,100.760383,142.714449
179,89.020688,75.665413,105.686527,100.760383,142.714449
180,89.020688,75.665413,105.686527,100.760383,142.714449
181,89.020688,75.665413,105.686527,100.760383,142.714449
182,89.020688,75.665413,105.686527,99.861809,142.714449
183,89.020688,75.665413,105.686527,99.861809,142.714449
184,89.020688,75.665413,105.686527,99.861809,142.714449
185,89.020688,75.665413,105.686527,99.861809,142.714449
186,89.020688,75.665413,105.686527,99.861809,142.714449
187,89.020688,75.665413,105.686527,99.861809,142.714449
188,89.020688,75.665413,105.686527,99.861809,142.714449
189,89.020688,75.665413,105.686527,99.861809,142.714449
190,89.020688,75.665413,105.686527,99.861809,142.714449
191,89.020688,75.665413,105.686527,99.861809,142.714449
192,89.020688,75.665413,105.686527,99.861809,142.714449
193,89.020688,75.665413,105.686527,99.861809,142.714449
194,89.020688,75.665413,105.686527,99.861809,142.714449
195,89.020688,75.665413,105.686527,99.861809,142.714449
196,89.020688,75.665413,105.686527,99.861809,142.714449
197,89.020688,75.665413,105.686527,99.861809,142.714449
198,89.020688,75.665413,105.686527,99.861809,142.714449
199,89.020688,75.665413,105.686527,99.861809,142.714449
200,89.020688,75.665413,105.686527,99.861809,142.714449
201,89.020688,75.665413,105.686527,99.861809,142.714449
202,89.020688,75.665413,105.686527,99.861809,142.714449
203,89.020688,75.665413,105.686527,99.861809,142.714449
204,89.020688,75.665413,105.686527,99.861809,142.714449
205,89.020688,75.665413,105.686527,99.861809,142.714449
206,89.020688,75.665413,105.686527,99.861809,142.714449
207,89.020688,75.665413,105.686527,99.861809,142.714449
208,89.020688,75.665413,105.686527,99.861809,142.714449
209,89.020688,75.665413,105.686527,99.861809,142.714449
210,89.020688,75.665413,105.686527,99.861809,142.714449
211,89.020688,75.665413,105.686527,99.861809,142.714449
212,89.020688,75.665413,105.686527,99.861809,142.714449
213,89.020688,75.665413,105.686527,99.861809,142.714449
214,89.020688,75.665413,105.686527,99.861809,142.714449
215,89.020688,75.665413,105.686527,99.861809,142.714449
216,89.020688,75.665413,105.686527,99.861809,142.714449
217,89.020688,75.665413,105.686527,93.063132,142.714449
218,89.020688,75.665413,105.686527,93.063132,142.714449
219,89.020688,75.665413,105.686527,93.063132,142.714449
220,89.020688,75.665413,105.686527,93.063132,142.714449
221,89.020688,75.665413,105.686527,93.063132,142.714449
222,89.020688,75.665413,105.686527,93.063132,142.714449
223,89.020688,75.665413,105.686527,93.063132,142.714449
224,89.020688,75.665413,105.686527,93.063132,142.714449
225,89.020688,75.665413,105.686527,93.063132,142.714449
226,89.020688,75.665413,105.686527,93.063132,142.714449
227,89.020688,75.665413,105.686527,93.063132,142.714449
228,89.020688,75.665413,105.686527,93.063132,142.714449
229,89.020688,75.665413,105.686527,93.063132,142.714449
230,89.020688,75.665413,105.686527,93.063132,142.714449
231,89.020688,75.665413,105.686527,93.063132,142.714449
232,89.020688,75.665413,105.686527,93.063132,142.714449
233,89.020688,75.665413,105.686527,93.063132,142.714449
234,89.020688,75.665413,105.686527,93.063132,142.714449
235,89.020688,75.665413,105.686527,93.063132,142.714449
236,89.020688,75.665413,105.686527,93.063132,142.714449
237,89.020688,75.665413,105.686527,93.063132,142.714449
238,89.020688,75.665413,105.686527,93.063132,142.714449
239,89.020688,75.665413,105.686527,93.063132,142.714449
240,89.020688,75.665413,105.686527,93.063132,142.714449
241,89.020688,75.665413,105.686527,93.063132,142.714449
242,89.020688,75.665413,105.686527,93.063132,142.714449
243,89.020688,75.665413,105.686527,93.063132,142.714449
244,89.020688,75.665413,105.686527,93.063132,142.714449
245,89.020688,75.665413,105.686527,93.063132,142.714449
246,89.020688,75.665413,105.686527,93.063132,142.714449
247,89.020688,75.665413,105.686527,93.063132,142.714449
248,89.020688,75.665413,105.686527,93.063132,142.714449
249,89.020688,75.665413,105.686527,93.063132,142.714449
250,89.020688,75.665413,105.686527,93.063132,142.714449
251,89.020688,75.665413,105.686527,93.063132,142.714449
252,89.020688,75.665413,105.686527,93.063132,142.714449
253,89.020688,75.665413,105.686527,93.063132,142.714449
254,89.020688,75.665413,105.686527,93.063132,142.714449
255,89.020688,75.665413,105.686527,93.063132,142.714449
256,89.020688,75.665413,105.686527,93.063132,142.714449
257,89.020688,75.665413,105.686527,93.063132,142.714449
258,89.020688,75.665413,105.686527,93.063132,142.714449
259,89.020688,75.665413,105.686527,93.063132,142.714449
260,89.020688,75.665413,105.686527,93.063132,142.714449
261,89.020688,75.665413,105.686527,93.063132,142.714449
262,89.020688,75.665413,105.686527,93.063132,142.714449
263,89.020688,75.665413,105.686527,93.063132,142.714449
264,89.020688,75.665413,105.686527,93.063132,142.714449
265,89.020688,75.665413,105.686527,93.063132,142.714449
266,89.020688,75.665413,105.686527,93.063132,142.714449
267,89.020688,75.665413,105.686527,93.063132,142.714449
268,89.020688,75.665413,105.686527,93.063132,142.714449
269,89.020688,75.665413,105.686527,93.063132,142.714449
270,89.020688,75.665413,105.686527,93.063132,142.714449
271,89.020688,75.665413,105.686527,93.063132,142.714449
272,89.020688,75.665413,105.686527,93.063132,142.714449
273,89.020688,75.108914,105.686527,93.063132,142.714449
274,89.020688,75.108914,105.686527,93.063132,142.714449
275,89.020688,75.108914,105.686527,93.063132,142.714449
276,89.020688,75.108914,105.686527,93.063132,142.714449
277,89.020688,75.108914,105.686527,93.063132,142.714449
