iteration,global_pso,local_pso_ring
0,111.815157,111.815157
1,70.471539,106.111923
2,70.471539,97.442007
3,70.471539,95.142447
4,70.471539,95.142447
5,70.471539,95.142447
6,70.203719,95.142447
7,70.203719,68.703594
8,49.128864,68.703594
9,49.128864,68.703594
10,49.128864,68.703594
11,49.128864,68.703594
12,49.128864,68.703594
13,49.128864,68.703594
14,49.128864,68.703594
15,49.128864,68.703594
16,49.128864,68.703594
17,49.128864,68.703594
18,49.128864,68.703594
19,49.128864,68.703594
20,49.128864,68.703594
21,49.128864,68.703594
22,49.128864,68.703594
23,49.128864,68.703594
24,49.128864,68.703594
25,49.128864,68.703594
26,49.128864,68.703594
27,49.128864,68.703594
28,49.128864,68.703594
29,49.128864,68.703594
30,49.128864,68.703594
31,49.128864,68.703594
32,49.128864,68.703594
33,49.128864,68.703594
34,49.128864,68.329069
35,49.128864,68.329069
36,49.128864,68.329069
37,49.128864,60.559110
38,49.128864,60.559110
39,49.128864,60.559110
40,49.128864,60.559110
41,49.128864,60.559110
42,49.128864,60.559110
43,49.128864,60.559110
44,49.128864,60.559110
45,49.128864,46.910587
46,49.128864,46.910587
47,49.128864,46.910587
48,49.128864,46.910587
49,45.478485,46.910587
50,45.478485,46.219628
51,45.477925,46.219628
52,45.477925,46.219628
53,45.477925,46.219628
54,45.477925,43.886177
55,45.477925,43.886177
56,45.477925,43.886177
57,45.477925,43.886177
58,45.477925,43.886177
59,45.477925,43.886177
60,45.477925,39.392436
61,45.477925,39.392436
62,45.477925,39.392436
63,45.477925,39.392436
64,45.477925,39.392436
65,45.477925,39.392436
66,45.477925,39.392436
67,45.477925,39.392436
68,45.477925,39.392436
69,45.477925,39.392436
70,45.477925,39.392436
71,45.477925,39.392436
72,45.477925,39.392436
73,45.477925,39.392436
74,45.477925,39.392436
75,45.477925,39.392436
76,45.477925,39.351385
77,45.477925,39.271233
78,45.477925,39.214978
79,45.477925,39.177192
80,45.477925,39.153560
81,45.477925,39.140667
82,45.477925,39.135820
83,45.477925,39.135820
84,45.477925,39.135820
85,45.477925,39.135820
86,45.477925,39.135820
87,45.477925,39.111704
88,45.477925,39.067614
89,45.477925,39.031550
90,45.477925,39.002031
91,45.477925,38.977847
92,45.477925,38.958017
93,45.477925,38.941738
94,45.477925,38.928358
95,45.477925,38.917346
96,45.477925,38.908269
97,45.477925,38.900775
98,45.477925,38.894576
99,45.477925,38.889440
100,45.477925,38.885176
101,45.477925,38.881628
102,45.477925,38.878669
103,45.477925,38.876195
104,45.477925,38.874122
105,45.477925,38.872381
106,45.477925,38.870914
107,45.477925,38.869675
108,45.477925,38.868625
109,45.477925,38.867734
110,45.477925,38.866975
111,45.477925,38.866326
112,45.477925,38.865771
113,45.477925,38.865293
114,45.477925,38.864882
115,45.477925,38.864527
116,45.477925,38.864220
117,45.477925,38.863953
118,45.477925,38.863721
119,45.477925,38.863519
120,45.477925,38.863342
121,45.477925,38.863187
122,45.477925,38.863051
123,45.477925,38.862931
124,45.477925,38.862825
125,45.477925,38.862732
126,45.477925,38.862650
127,45.477925,38.862577
128,45.477925,38.862513
129,45.477925,38.862456
130,45.477925,38.862405
131,45.477925,38.862360
132,45.477925,38.862319
133,45.477925,38.862284
134,45.477925,38.862252
135,45.477925,38.862223
136,45.477925,38.862198
137,45.477925,38.862175
138,45.477925,38.862155
139,45.477925,38.862137
140,45.477925,38.862120
141,45.477925,38.862106
142,45.477925,38.862093
143,45.477925,38.862081
144,45.477925,38.862071
145,45.477925,38.862061
146,45.477925,38.862053
147,45.477925,38.862045
148,45.477925,38.862039
149,45.477925,38.862033
150,45.477925,38.862027
151,45.477925,38.862022
152,45.477925,38.862018
153,45.477925,38.862014
154,45.477925,38.862011
155,45.477925,38.862007
156,45.477925,38.862005
157,45.477925,38.862002
158,45.477925,38.862000
159,45.477925,38.861998
160,45.477925,38.861996
161,45.477925,38.861994
162,45.477925,38.861993
163,45.477925,38.861992
164,45.477925,38.861990
165,45.477925,38.861989
166,45.477925,38.861988
167,45.477925,38.861987
168,45.477925,38.861987
169,45.477925,38.861986
170,45.477925,38.861985
171,45.477925,38.861985
172,45.477925,38.861984
173,45.477925,38.861984
174,45.477925,38.861983
175,45.477925,38.861983
176,45.477925,38.861983
177,45.477925,38.861982
178,45.477925,38.861982
179,45.477925,38.861982
180,45.477925,38.861982
181,45.477925,38.861982
182,45.477925,38.861981
183,45.477925,38.861981
184,45.477925,38.861981
185,45.477925,38.861981
186,45.477925,38.861981
187,45.477925,38.861981
188,45.477925,38.861981
189,45.477925,38.861981
190,45.477925,38.861981
191,45.477925,38.861980
192,45.477925,38.861980
193,45.477925,38.861980
194,45.477925,38.861980
195,45.477925,38.861980
196,45.477925,38.861980
197,45.477925,38.861980
198,45.477925,38.861980
199,45.477925,38.861980
200,45.477925,38.861980
201,45.477925,38.861980
202,45.477925,38.861980
203,45.477925,38.861980
204,45.477925,38.861980
205,45.477925,38.861980
206,45.477925,38.861980
207,45.477925,38.861980
208,45.477925,38.861980
209,45.477925,38.861980
210,45.477925,38.861980
211,45.477925,38.861980
212,45.477925,38.861980
213,45.477925,38.861980
214,45.477925,38.861980
215,45.477925,38.861980
216,45.477925,38.861980
217,45.477925,38.861980
218,45.477925,38.861980
219,45.477925,32.784936
220,45.477925,32.784936
221,45.477925,32.784936
222,45.477925,32.784936
223,45.477925,32.784936
224,45.477925,32.784936
225,45.477925,32.784936
226,45.477925,32.784936
227,45.477925,32.784936
228,45.477925,32.784936
