iteration,w_const_0.7,w_linear,w_nonlinear
0,136.775369,136.775369,136.775369
1,135.669387,135.669387,135.669387
2,94.460671,97.264979,89.128735
3,94.460671,41.456209,89.128735
4,94.460671,41.456209,89.128735
5,94.460671,41.456209,76.855774
6,94.460671,41.456209,76.855774
7,94.460671,41.456209,76.855774
8,94.460671,41.456209,76.855774
9,77.186082,41.456209,76.855774
10,61.656510,41.456209,76.855774
11,61.656510,41.456209,76.855774
12,61.656510,41.456209,76.855774
13,61.656510,41.456209,76.855774
14,61.656510,41.456209,76.855774
15,61.656510,41.456209,76.855774
16,61.656510,41.456209,76.855774
17,61.656510,41.456209,76.855774
18,61.656510,41.456209,76.855774
19,61.656510,41.456209,76.855774
20,61.656510,41.456209,76.855774
21,57.690388,41.456209,76.855774
22,57.690388,41.456209,76.855774
23,57.690388,41.456209,76.855774
24,57.690388,41.456209,76.855774
25,57.690388,41.456209,75.120540
26,57.690388,41.456209,69.506258
27,57.690388,41.456209,69.506258
28,57.690388,41.456209,61.607269
29,57.690388,41.456209,61.607269
30,57.690388,41.456209,61.607269
31,57.690388,41.456209,61.607269
32,57.690388,41.456209,61.607269
33,57.690388,41.456209,61.607269
34,57.690388,41.456209,53.564274
35,57.690388,41.456209,53.564274
36,57.690388,41.456209,53.564274
37,53.602114,41.456209,53.564274
38,51.148553,41.456209,53.564274
39,51.148553,41.456209,51.699907
40,51.148553,41.456209,51.699907
41,49.065302,41.456209,51.699907
42,49.065302,41.456209,51.699907
43,44.907337,41.456209,51.699907
44,44.907337,41.456209,51.699907
45,43.301766,41.456209,51.699907
46,43.301766,41.456209,51.369394
47,43.301766,41.456209,51.369394
48,42.697119,41.456209,51.369394
49,42.697119,41.456209,51.369394
50,42.697119,41.456209,50.075876
51,42.697119,41.456209,50.075876
52,42.697119,41.456209,29.058227
53,42.649673,41.456209,29.058227
54,42.420756,41.456209,29.058227
55,41.849662,41.456209,29.058227
56,36.031850,41.456209,29.058227
57,36.031850,41.456209,29.058227
58,36.031850,41.456209,22.789578
59,36.031850,41.456209,22.789578
60,36.031850,41.456209,19.228285
61,36.031850,41.456209,16.697107
62,36.031850,41.456209,16.372350
63,36.031850,41.456209,15.106263
64,36.031850,41.456209,14.580477
65,36.031850,41.456209,11.715249
66,36.031850,41.456209,11.715249
67,36.031850,41.456209,11.715249
68,36.031850,41.456209,11.715249
69,36.031850,41.456209,10.138332
70,33.883149,41.456209,9.796208
71,33.883149,41.456209,9.796208
72,33.401318,41.456209,9.693023
73,32.993906,41.456209,9.614816
74,31.514031,41.456209,9.109884
75,30.650911,41.456209,9.109884
76,30.650911,41.456209,8.657839
77,30.454342,41.456209,8.200735
78,30.454342,41.456209,7.935594
79,30.121711,41.456209,7.873710
80,30.121711,41.456209,7.790040
81,30.121711,41.456209,7.530164
82,30.121711,41.456209,7.416850
83,30.121711,41.456209,7.293337
84,30.121711,41.456209,7.148273
85,30.060119,41.456209,7.090634
86,30.060119,41.456209,7.040961
87,30.060119,41.456209,7.018649
88,30.060119,41.456209,7.009012
89,30.060119,41.456209,6.995471
90,30.020315,41.456209,6.991608
91,30.020315,41.456209,6.989184
92,29.965412,41.456209,6.986912
93,29.943202,41.456209,6.981095
94,29.943202,41.456209,6.976392
95,29.943202,41.456209,6.975250
96,28.642496,41.456209,6.973509
97,28.642496,39.565521,6.971836
98,28.642496,39.565521,6.970914
99,28.642496,39.565521,6.969964
100,28.642496,39.565521,6.969182
101,27.794460,39.565521,6.968460
102,27.725303,39.565521,6.967752
103,27.725303,39.565521,6.967308
104,27.725303,39.565521,6.966899
105,27.725303,39.565521,6.966606
106,27.725303,39.565521,6.966457
107,27.725303,39.565521,6.966316
108,27.725303,39.565521,6.966125
109,27.725303,39.565521,6.966046
110,27.421899,39.565521,6.966046
111,27.421899,39.565521,6.966027
112,27.421899,39.565521,6.966022
113,27.421899,39.565521,6.966005
114,27.421899,39.565521,6.965986
115,27.149941,39.565521,6.965976
116,27.122438,39.565521,6.965962
117,27.122438,39.565521,6.965952
118,27.112086,39.565521,6.965930
119,27.049626,39.565521,6.965910
120,27.049626,39.565521,6.965881
121,27.049626,39.565521,6.965845
122,27.049626,39.565521,6.965830
123,27.049626,39.565521,6.965808
124,27.049626,39.565521,6.965789
125,26.915934,39.565521,6.965771
126,26.915934,39.565521,6.965751
127,26.915934,39.565521,6.965740
128,26.915934,39.565521,6.965729
129,26.915934,39.565521,6.965706
130,26.512938,39.565521,6.965687
131,26.231361,39.565521,6.965668
132,26.231361,39.565521,6.965651
133,26.231361,39.565521,6.965637
134,26.181286,39.565521,6.965626
135,25.471456,39.565521,6.965608
136,20.746176,39.565521,6.965598
137,20.746176,39.565521,6.965582
138,15.695105,39.565521,6.965573
139,15.695105,39.565521,6.965564
140,12.944547,39.565521,6.965558
141,12.944547,39.565521,6.965552
142,12.944547,39.565521,6.965549
143,11.308779,39.565521,6.965546
144,11.308779,39.565521,6.965542
145,11.308779,39.565521,6.965540
146,11.308779,39.565521,6.965536
147,11.308779,39.565521,6.965533
148,11.308779,39.565521,6.965528
149,10.943232,39.565521,6.965525
150,10.796125,39.565521,6.965522
151,10.549907,39.565521,6.965520
152,10.549907,39.565521,6.965517
153,10.349760,39.565521,6.965515
154,10.349760,39.565521,6.965513
155,10.349760,39.565521,6.965510
156,10.349760,39.565521,6.965507
