iteration,n10,n20,n30,n50,n100
0,148.352119,147.268054,80.881868,128.606104,114.290517
1,117.085665,129.749615,80.881868,123.088884,77.505637
2,117.085665,129.749615,80.881868,86.911085,77.505637
3,117.085665,124.990286,80.881868,86.911085,77.505637
4,117.085665,91.244041,80.881868,86.911085,77.505637
5,117.085665,78.658267,80.881868,86.911085,77.505637
6,117.085665,78.658267,80.881868,86.911085,77.505637
7,117.085665,77.996379,80.881868,86.911085,77.505637
8,117.085665,77.996379,80.881868,86.911085,77.505637
9,117.085665,77.996379,80.881868,86.911085,77.505637
10,117.085665,77.996379,80.881868,86.911085,77.505637
11,117.085665,77.996379,80.881868,86.911085,77.505637
12,117.085665,77.996379,80.881868,86.911085,77.505637
13,117.085665,77.996379,80.881868,80.390675,77.505637
14,117.085665,77.996379,80.881868,80.390675,77.505637
15,117.085665,77.996379,77.371802,80.390675,77.505637
16,103.714380,77.996379,71.340915,80.390675,77.305177
17,103.714380,77.996379,71.340915,80.390675,77.305177
18,103.714380,77.996379,71.340915,80.390675,77.305177
19,103.714380,77.996379,68.662965,80.390675,77.305177
20,103.714380,77.996379,68.662965,80.390675,77.305177
21,103.714380,77.996379,68.662965,80.390675,77.305177
22,103.714380,77.996379,68.662965,80.390675,77.305177
23,103.714380,77.996379,68.662965,80.390675,77.305177
24,88.571332,77.996379,68.662965,80.390675,60.347958
25,88.571332,77.996379,68.662965,80.390675,60.347958
26,88.571332,77.996379,68.662965,80.390675,60.347958
27,88.571332,77.996379,68.662965,80.390675,60.347958
28,88.571332,65.032134,68.662965,80.390675,60.347958
29,88.571332,65.032134,68.662965,80.390675,60.347958
30,88.571332,65.032134,68.662965,78.477439,60.347958
31,88.571332,65.032134,68.662965,78.477439,60.347958
32,88.571332,65.032134,68.662965,78.477439,60.347958
33,88.571332,65.032134,68.662965,78.477439,60.347958
34,88.571332,65.032134,67.212298,78.477439,60.347958
35,88.571332,65.032134,67.212298,78.477439,60.347958
36,88.571332,65.032134,59.499293,78.477439,60.347958
37,88.571332,65.032134,59.499293,78.477439,60.347958
38,88.571332,65.032134,59.499293,72.218542,60.347958
39,88.571332,65.032134,59.499293,72.218542,60.347958
40,88.571332,65.032134,59.499293,72.218542,60.347958
41,88.571332,65.032134,59.499293,72.218542,60.347958
42,88.571332,65.032134,59.499293,72.218542,55.097135
43,88.571332,65.032134,59.499293,72.218542,55.097135
44,88.571332,65.032134,59.499293,72.218542,55.097135
45,88.571332,65.032134,54.449662,72.218542,55.097135
46,88.571332,65.032134,54.449662,72.218542,55.097135
47,88.571332,65.032134,54.449662,72.218542,55.097135
48,88.571332,65.032134,54.449662,72.218542,55.097135
49,88.571332,65.032134,54.449662,72.218542,55.097135
50,88.571332,65.032134,54.449662,72.218542,55.097135
51,88.571332,65.032134,54.449662,72.218542,55.097135
52,88.571332,65.032134,54.449662,72.218542,55.097135
53,88.571332,65.032134,54.449662,72.218542,55.097135
54,88.571332,65.032134,54.449662,72.218542,55.097135
55,88.571332,65.032134,54.449662,72.218542,55.097135
56,88.571332,65.032134,54.449662,51.026901,55.097135
57,88.571332,65.032134,54.449662,51.026901,55.097135
58,88.571332,65.032134,54.449662,51.026901,55.097135
59,88.571332,65.032134,54.449662,51.026901,55.097135
60,88.571332,65.032134,54.449662,51.026901,55.097135
61,88.571332,65.032134,54.449662,51.026901,55.097135
62,88.571332,65.032134,54.449662,51.026901,55.097135
63,88.571332,61.559900,54.449662,51.026901,55.097135
64,88.571332,61.559900,54.449662,51.026901,55.097135
65,88.571332,61.559900,54.449662,51.026901,55.097135
66,88.571332,61.559900,54.449662,51.026901,55.097135
67,88.571332,61.559900,54.449662,51.026901,55.097135
68,88.571332,61.559900,52.663398,51.026901,55.097135
69,88.571332,61.559900,52.663398,51.026901,55.097135
70,88.571332,61.559900,52.663398,51.026901,55.097135
71,88.571332,61.559900,52.663398,51.026901,55.097135
72,88.571332,61.559900,52.663398,51.026901,55.097135
73,88.571332,61.559900,52.663398,51.026901,55.097135
74,88.571332,61.559900,52.663398,51.026901,55.097135
75,88.571332,61.559900,52.663398,51.026901,55.097135
76,88.571332,61.559900,52.663398,51.026901,55.097135
77,88.571332,61.559900,52.663398,51.026901,55.097135
78,88.571332,61.559900,52.663398,51.026901,55.097135
79,88.571332,61.559900,52.663398,51.026901,55.097135
80,88.571332,61.559900,52.663398,51.026901,55.097135
81,88.571332,55.326378,52.663398,51.026901,55.097135
82,88.571332,55.326378,52.663398,51.026901,55.097135
83,88.571332,55.326378,52.663398,51.026901,55.097135
84,88.571332,55.326378,52.663398,51.026901,55.097135
85,88.571332,55.326378,52.663398,51.026901,55.097135
86,88.571332,55.326378,52.663398,51.026901,55.097135
